"DATE","PROTOCOL","VOLUME_USD","CUM_VOLUME_USD"
"2024-06-17 00:00:00.000","batswap","27510.493616857","7645653.00511497"
"2024-06-17 00:00:00.000","hippo","7581792.00614995","393241434.909563"
"2024-06-17 00:00:00.000","cellana","145183720.122196","1213828001.35334"
"2024-06-17 00:00:00.000","auxexchange","22725.273430553","1302504.76349249"
"2024-06-17 00:00:00.000","animeswap","6427.506235618","387157.339527955"
"2024-06-17 00:00:00.000","sushi","3401023.56933504","123353248.654167"
"2024-06-17 00:00:00.000","liquidswap","32548412.2405037","945812716.620569"
"2024-06-10 00:00:00.000","batswap","34987.153654179","7618142.51149811"
"2024-06-10 00:00:00.000","auxexchange","10989.862250175","1279779.49006194"
"2024-06-10 00:00:00.000","animeswap","5068.440489727","380729.833292338"
"2024-06-10 00:00:00.000","pancake","6107400.01168277","282755185.895614"
"2024-06-10 00:00:00.000","liquidswap","37043343.6993586","913264304.380066"
"2024-06-10 00:00:00.000","thala","53988163.7089185","546173531.347408"
"2024-06-10 00:00:00.000","cellana","164070100.928949","1068644281.23114"
"2024-06-10 00:00:00.000","sushi","2623200.42257967","119952225.084832"
"2024-06-10 00:00:00.000","cetus","9868.925138349","790879.183912806"
"2024-06-10 00:00:00.000","hippo","6635394.31773561","385659642.903413"
"2024-06-03 00:00:00.000","auxexchange","34544.689676486","1268789.62781177"
"2024-06-03 00:00:00.000","cetus","8413.557757247","781010.258774457"
"2024-06-03 00:00:00.000","pancake","5763970.03283747","276647785.883932"
"2024-06-03 00:00:00.000","thala","61054538.6034907","492185367.638489"
"2024-06-03 00:00:00.000","liquidswap","47864507.896111","876220960.680707"
"2024-06-03 00:00:00.000","animeswap","7400.171179728","375661.39280261"
"2024-06-03 00:00:00.000","batswap","47781.989443334","7583155.35784393"
"2024-06-03 00:00:00.000","hippo","7511221.83006094","379024248.585677"
"2024-06-03 00:00:00.000","cellana","204224352.310948","904574180.302194"
"2024-06-03 00:00:00.000","sushi","2174226.39826589","117329024.662252"
"2024-05-27 00:00:00.000","batswap","59354.56406765","7535373.3684006"
"2024-05-27 00:00:00.000","animeswap","6086.37672722","368261.221622882"
"2024-05-27 00:00:00.000","liquidswap","36639310.0531513","828356452.784596"
"2024-05-27 00:00:00.000","pancake","4544379.04207834","270883815.851094"
"2024-05-27 00:00:00.000","cetus","9366.186788472","772596.70101721"
"2024-05-27 00:00:00.000","thala","19119564.244342","431130829.034999"
"2024-05-27 00:00:00.000","hippo","8276900.46527948","371513026.755616"
"2024-05-27 00:00:00.000","cellana","118900093.361058","700349827.991246"
"2024-05-27 00:00:00.000","auxexchange","22907.842818546","1234244.93813528"
