SWAP_DATE,PLATFORM,TOTAL_SWAPS,UNIQUE_SWAPPERS,TOTAL_AMOUNT_IN,TOTAL_AMOUNT_OUT,UNIQUE_TOKENS_IN,UNIQUE_TOKENS_OUT,AVG_SWAPS_PER_USER,IMPLIED_FEE_PERCENTAGE
2024-08-30 00:00:00.000,batswap,137,26,50233014919139,352804847699558,8,8,5.269231,-6.023366
2024-08-29 00:00:00.000,cellana,31202,3355,8757599391498591,9453093024664068,17,17,9.300149,-0.079416
2024-08-29 00:00:00.000,liquidswap,27279,4497,196948529942807400,174940608937912640,44,51,6.066044,0.111745
2024-08-29 00:00:00.000,thala,20617,917,407777240828055,419196562653506,17,17,22.483097,-0.028004
2024-08-29 00:00:00.000,pancake,10919,1585,2018696455743826,2779282651519697,37,42,6.888959,-0.376771
2024-08-29 00:00:00.000,hippo,5570,785,12119604199185412,24063576432052730,33,36,7.095541,-0.985508
2024-08-29 00:00:00.000,sushi,3467,431,10208061706403,10324855174550,9,7,8.044084,-0.011441
2024-08-29 00:00:00.000,auxexchange,874,324,1019917251971,530791006395,14,14,2.697531,0.479574
2024-08-29 00:00:00.000,cetus,715,54,29072478145,29407116596,11,10,13.240741,-0.01151
2024-08-29 00:00:00.000,animeswap,597,246,455993521306,2955455510832,16,20,2.426829,-5.481354
2024-08-29 00:00:00.000,batswap,167,35,257522919918832,13188845254382,12,9,4.771429,0.948786
2024-08-28 00:00:00.000,cellana,31137,2898,5972661991478260,6990115091603839,17,17,10.744306,-0.170352
2024-08-28 00:00:00.000,liquidswap,27328,3294,261259619487989440,298089340414284160,47,51,8.296296,-0.14097
2024-08-28 00:00:00.000,thala,25940,951,491632889885875,452227228237624,18,17,27.276551,0.080153
2024-08-28 00:00:00.000,pancake,14624,1905,3053501790285128,8134773292767106,44,43,7.67664,-1.66408
2024-08-28 00:00:00.000,hippo,6415,331,43565275638874370,34329074315236136,33,33,19.380665,0.212008
2024-08-28 00:00:00.000,sushi,4796,507,14923895279091,14549853709272,9,9,9.459566,0.025063
2024-08-28 00:00:00.000,auxexchange,1189,381,216507726717,213228286389,14,14,3.120735,0.015147
2024-08-28 00:00:00.000,cetus,1005,75,42569425142,40633986132,10,10,13.4,0.045465
