ACTIVITY_DATE,PLATFORM,CHAIN_PAIR,TOTAL_TRANSACTIONS,UNIQUE_USERS,TOTAL_RAW_AMOUNT,AVG_RAW_AMOUNT_PER_TX,AVG_RAW_AMOUNT_PER_TX_CALCULATED,USERS_PER_TRANSACTION_RATIO
2024-09-05 00:00:00.000,layerzero,Aptos -> Arbitrum,95,76,76620153415,806527930.684211,806527930.684211,0.8
2024-09-05 00:00:00.000,layerzero,Aptos -> Optimism,52,40,3443982199,66230426.903846,66230426.903846,0.769231
2024-09-05 00:00:00.000,layerzero,Arbitrum -> Aptos,49,1,56107344970,1145047856.530612,1145047856.530612,0.020408
2024-09-05 00:00:00.000,layerzero,Optimism -> Aptos,42,1,104456736237,2487065148.5,2487065148.5,0.02381
2024-09-05 00:00:00.000,layerzero,Aptos -> Ethereum,31,31,956618371616,30858657148.903225,30858657148.903225,1
2024-09-05 00:00:00.000,wormhole,,31,21,88659425592393,2859981470722.355,2859981470722.355,0.677419
2024-09-05 00:00:00.000,layerzero,Aptos -> BSC,30,27,616517239469,20550574648.966667,20550574648.966667,0.9
2024-09-05 00:00:00.000,layerzero,Aptos -> Polygon,30,29,13723648396,457454946.533333,457454946.533333,0.966667
2024-09-05 00:00:00.000,wormhole,aptos -> sui,21,16,10089746392,480464113.904762,480464113.904762,0.761905
2024-09-05 00:00:00.000,wormhole,aptos -> solana,18,9,4015542702880,223085705715.55554,223085705715.55554,0.5
2024-09-05 00:00:00.000,layerzero,Polygon -> Aptos,18,1,1010589963266,56143886848.111115,56143886848.111115,0.055556
2024-09-05 00:00:00.000,layerzero,BSC -> Aptos,18,1,112308252807,6239347378.166667,6239347378.166667,0.055556
2024-09-05 00:00:00.000,layerzero,Ethereum -> Aptos,17,1,1891705943101,111276820182.41176,111276820182.41176,0.058824
2024-09-05 00:00:00.000,layerzero,Aptos -> Avalanche,11,11,55114450939,5010404630.818182,5010404630.818182,1
2024-09-05 00:00:00.000,layerzero,Avalanche -> Aptos,7,1,29231218289,4175888327,4175888327,0.142857
2024-09-05 00:00:00.000,mover,Arbitrum -> aptos,4,1,11035704,2758926,2758926,0.25
2024-09-05 00:00:00.000,wormhole,aptos -> celo,3,1,124905779,41635259.666667,41635259.666667,0.333333
2024-09-05 00:00:00.000,wormhole,aptos -> wormchain,2,1,3436000000,1718000000,1718000000,0.5
2024-09-05 00:00:00.000,mover,Polygon -> aptos,2,1,2312535,1156267.5,1156267.5,0.5
2024-09-05 00:00:00.000,wormhole,aptos -> arbitrum,2,2,130000000,65000000,65000000,1
2024-09-05 00:00:00.000,mover,aptos -> Arbitrum,1,1,1979250,1979250,1979250,1
2024-09-04 00:00:00.000,layerzero,Aptos -> Optimism,53,53,311493902,5877243.433962,5877243.433962,1
2024-09-04 00:00:00.000,layerzero,Aptos -> Arbitrum,40,37,33271925951,831798148.775,831798148.775,0.925
2024-09-04 00:00:00.000,layerzero,Arbitrum -> Aptos,40,1,7805369017,195134225.425,195134225.425,0.025
2024-09-04 00:00:00.000,layerzero,Aptos -> BSC,37,33,256002762927,6918993592.621622,6918993592.621622,0.891892
2024-09-04 00:00:00.000,wormhole,,35,21,283236338656,8092466818.742857,8092466818.742857,0.6
2024-09-04 00:00:00.000,layerzero,BSC -> Aptos,26,1,452083061932,17387810074.307693,17387810074.307693,0.038462
2024-09-04 00:00:00.000,layerzero,Optimism -> Aptos,22,1,655464455,29793838.863636,29793838.863636,0.045455
2024-09-04 00:00:00.000,layerzero,Polygon -> Aptos,22,1,1098547009845,49933954992.954544,49933954992.954544,0.045455
2024-09-04 00:00:00.000,layerzero,Aptos -> Avalanche,20,19,25476987100,1273849355,1273849355,0.95
2024-09-04 00:00:00.000,layerzero,Ethereum -> Aptos,19,1,494874910511,26046047921.63158,26046047921.63158,0.052632
2024-09-04 00:00:00.000,layerzero,Aptos -> Polygon,19,19,4364419660,229706297.894737,229706297.894737,1
2024-09-04 00:00:00.000,wormhole,aptos -> solana,13,5,1724899447310,132684572870,132684572870,0.384615
2024-09-04 00:00:00.000,layerzero,Avalanche -> Aptos,12,1,85241830697,7103485891.416667,7103485891.416667,0.083333
2024-09-04 00:00:00.000,wormhole,aptos -> sui,12,10,67304516822,5608709735.166667,5608709735.166667,0.833333
2024-09-04 00:00:00.000,layerzero,Aptos -> Ethereum,10,10,217842458924,21784245892.4,21784245892.4,1
2024-09-04 00:00:00.000,wormhole,aptos -> wormchain,9,5,29503000000,3278111111.111111,3278111111.111111,0.555556
2024-09-04 00:00:00.000,wormhole,aptos -> moonbeam,3,1,187833327540,62611109180,62611109180,0.333333
2024-09-04 00:00:00.000,celer_cbridge,Ethereum -> Aptos,2,1,931555507,465777753.5,465777753.5,0.5
2024-09-04 00:00:00.000,wormhole,aptos -> base,2,2,129000000,64500000,64500000,1
2024-09-04 00:00:00.000,wormhole,aptos -> arbitrum,1,1,255000000,255000000,255000000,1
2024-09-04 00:00:00.000,wormhole,aptos -> avalanche,1,1,100000,100000,100000,1
2024-09-04 00:00:00.000,wormhole,aptos -> ethereum,1,1,9992150000,9992150000,9992150000,1
2024-09-04 00:00:00.000,wormhole,aptos -> bsc,1,1,100990000,100990000,100990000,1
2024-09-03 00:00:00.000,layerzero,Arbitrum -> Aptos,73,1,135785859970,1860080273.561644,1860080273.561644,0.013699
2024-09-03 00:00:00.000,layerzero,Aptos -> BSC,44,37,702007266713,15954710607.113636,15954710607.113636,0.840909
2024-09-03 00:00:00.000,layerzero,BSC -> Aptos,42,1,862709226892,20540695878.38095,20540695878.38095,0.02381
2024-09-03 00:00:00.000,layerzero,Aptos -> Arbitrum,42,41,4476530337,106584055.642857,106584055.642857,0.97619
2024-09-03 00:00:00.000,layerzero,Aptos -> Optimism,30,25,5246594467,174886482.233333,174886482.233333,0.833333
2024-09-03 00:00:00.000,layerzero,Optimism -> Aptos,23,1,7247179108,315094743.826087,315094743.826087,0.043478
2024-09-03 00:00:00.000,layerzero,Aptos -> Avalanche,22,22,20990709520,954123160,954123160,1
2024-09-03 00:00:00.000,wormhole,,21,10,100636896010517,4792233143357.952,4792233143357.952,0.47619
2024-09-03 00:00:00.000,layerzero,Ethereum -> Aptos,19,1,261436047045,13759791949.736841,13759791949.736841,0.052632
2024-09-03 00:00:00.000,layerzero,Polygon -> Aptos,18,1,38697350722,2149852817.888889,2149852817.888889,0.055556
2024-09-03 00:00:00.000,layerzero,Aptos -> Polygon,18,18,18645552926,1035864051.444444,1035864051.444444,1
2024-09-03 00:00:00.000,wormhole,aptos -> sui,17,10,14310211865,841777168.529412,841777168.529412,0.588235
2024-09-03 00:00:00.000,layerzero,Avalanche -> Aptos,12,1,16944819451,1412068287.583333,1412068287.583333,0.083333
2024-09-03 00:00:00.000,layerzero,Aptos -> Ethereum,11,10,42705993227,3882363020.636364,3882363020.636364,0.909091
2024-09-03 00:00:00.000,wormhole,aptos -> solana,7,4,15360550161988,2194364308855.4285,2194364308855.4285,0.571429
2024-09-03 00:00:00.000,wormhole,aptos -> ethereum,2,1,16511707900,8255853950,8255853950,0.5
2024-09-03 00:00:00.000,wormhole,aptos -> wormchain,1,1,3783000000,3783000000,3783000000,1
2024-09-03 00:00:00.000,wormhole,aptos -> celo,1,1,145000356,145000356,145000356,1
2024-09-03 00:00:00.000,wormhole,aptos -> fantom,1,1,200000000,200000000,200000000,1
2024-09-02 00:00:00.000,layerzero,Aptos -> Optimism,61,56,3310450144,54269674.491803,54269674.491803,0.918033
2024-09-02 00:00:00.000,layerzero,Arbitrum -> Aptos,49,1,25590118290,522247312.040816,522247312.040816,0.020408
2024-09-02 00:00:00.000,layerzero,Aptos -> Arbitrum,45,39,41672154744,926047883.2,926047883.2,0.866667
2024-09-02 00:00:00.000,layerzero,Aptos -> BSC,35,26,97405347838,2783009938.228571,2783009938.228571,0.742857
2024-09-02 00:00:00.000,layerzero,BSC -> Aptos,33,1,131168260731,3974795779.727273,3974795779.727273,0.030303
2024-09-02 00:00:00.000,wormhole,,29,21,10956788994582,377820310158,377820310158,0.724138
2024-09-02 00:00:00.000,layerzero,Optimism -> Aptos,23,1,1119317656,48665985.043478,48665985.043478,0.043478
2024-09-02 00:00:00.000,layerzero,Aptos -> Ethereum,21,21,554442878,26402041.809524,26402041.809524,1
2024-09-02 00:00:00.000,layerzero,Aptos -> Polygon,19,18,15828041790,833054831.052632,833054831.052632,0.947368
2024-09-02 00:00:00.000,layerzero,Ethereum -> Aptos,17,1,201285376966,11840316292.117647,11840316292.117647,0.058824
2024-09-02 00:00:00.000,layerzero,Polygon -> Aptos,17,1,26840145669,1578832098.176471,1578832098.176471,0.058824
2024-09-02 00:00:00.000,layerzero,Aptos -> Avalanche,14,14,6819674997,487119642.642857,487119642.642857,1
2024-09-02 00:00:00.000,wormhole,aptos -> solana,11,6,1493050367199,135731851563.54546,135731851563.54546,0.545455
2024-09-02 00:00:00.000,wormhole,aptos -> sui,10,8,7081642578,708164257.8,708164257.8,0.8
2024-09-02 00:00:00.000,layerzero,Avalanche -> Aptos,8,1,8689363430,1086170428.75,1086170428.75,0.125
2024-09-02 00:00:00.000,wormhole,aptos -> base,3,3,1547730000,515910000,515910000,1
2024-09-02 00:00:00.000,wormhole,aptos -> wormchain,2,2,1575000000,787500000,787500000,1
2024-09-02 00:00:00.000,wormhole,aptos -> polygon,2,2,4200463,2100231.5,2100231.5,1
2024-09-02 00:00:00.000,wormhole,aptos -> ethereum,2,2,29806000000,14903000000,14903000000,1
2024-09-02 00:00:00.000,wormhole,aptos -> arbitrum,1,1,194421025,194421025,194421025,1
2024-09-02 00:00:00.000,mover,Arbitrum -> aptos,1,1,500724,500724,500724,1
2024-09-02 00:00:00.000,wormhole,aptos -> optimism,1,1,39500000,39500000,39500000,1
2024-09-01 00:00:00.000,layerzero,Arbitrum -> Aptos,56,1,73033368218,1304167289.607143,1304167289.607143,0.017857
2024-09-01 00:00:00.000,layerzero,BSC -> Aptos,37,1,321807840889,8697509213.216215,8697509213.216215,0.027027
2024-09-01 00:00:00.000,layerzero,Aptos -> BSC,31,28,77009550007,2484179032.483871,2484179032.483871,0.903226
2024-09-01 00:00:00.000,wormhole,,29,16,11136591097146,384020382660.2069,384020382660.2069,0.551724
2024-09-01 00:00:00.000,layerzero,Aptos -> Arbitrum,23,23,18307294979,795969346.913043,795969346.913043,1
2024-09-01 00:00:00.000,layerzero,Optimism -> Aptos,17,1,14393288587,846664034.529412,846664034.529412,0.058824
2024-09-01 00:00:00.000,layerzero,Ethereum -> Aptos,16,1,92877270428,5804829401.75,5804829401.75,0.0625
2024-09-01 00:00:00.000,layerzero,Aptos -> Polygon,14,13,20940501393,1495750099.5,1495750099.5,0.928571
2024-09-01 00:00:00.000,layerzero,Aptos -> Avalanche,13,12,12111787589,931675968.384615,931675968.384615,0.923077
2024-09-01 00:00:00.000,layerzero,Aptos -> Ethereum,12,11,32971812758,2747651063.166667,2747651063.166667,0.916667
2024-09-01 00:00:00.000,layerzero,Aptos -> Optimism,11,10,1142197700,103836154.545455,103836154.545455,0.909091
2024-09-01 00:00:00.000,wormhole,aptos -> solana,11,8,939234673877,85384970352.45454,85384970352.45454,0.727273
2024-09-01 00:00:00.000,layerzero,Avalanche -> Aptos,11,1,22272866177,2024806016.090909,2024806016.090909,0.090909
2024-09-01 00:00:00.000,layerzero,Polygon -> Aptos,9,1,12492964222,1388107135.777778,1388107135.777778,0.111111
2024-09-01 00:00:00.000,wormhole,aptos -> sui,7,6,11917000000,1702428571.428571,1702428571.428571,0.857143
2024-09-01 00:00:00.000,wormhole,aptos -> ethereum,4,2,49743990000,12435997500,12435997500,0.5
2024-09-01 00:00:00.000,wormhole,aptos -> optimism,3,3,1942386535,647462178.333333,647462178.333333,1
2024-09-01 00:00:00.000,wormhole,aptos -> wormchain,2,1,8500000000,4250000000,4250000000,0.5
2024-09-01 00:00:00.000,wormhole,aptos -> polygon,2,1,2199905486,1099952743,1099952743,0.5
2024-09-01 00:00:00.000,mover,Arbitrum -> aptos,1,1,20003917,20003917,20003917,1
2024-09-01 00:00:00.000,wormhole,aptos -> base,1,1,100000,100000,100000,1
2024-09-01 00:00:00.000,wormhole,aptos -> arbitrum,1,1,4000000,4000000,4000000,1
2024-08-31 00:00:00.000,layerzero,Arbitrum -> Aptos,84,1,70200972981,835725868.821429,835725868.821429,0.011905
2024-08-31 00:00:00.000,layerzero,Aptos -> Optimism,51,51,2431810408,47682557.019608,47682557.019608,1
2024-08-31 00:00:00.000,layerzero,Aptos -> Arbitrum,49,48,8766724873,178912752.510204,178912752.510204,0.979592
2024-08-31 00:00:00.000,layerzero,Ethereum -> Aptos,45,1,1192319136298,26495980806.622223,26495980806.622223,0.022222
2024-08-31 00:00:00.000,layerzero,Optimism -> Aptos,29,1,300468234,10360973.586207,10360973.586207,0.034483
2024-08-31 00:00:00.000,wormhole,,23,18,807464558319,35107154709.521736,35107154709.521736,0.782609
2024-08-31 00:00:00.000,layerzero,BSC -> Aptos,20,1,383775380304,19188769015.2,19188769015.2,0.05
2024-08-31 00:00:00.000,layerzero,Aptos -> Polygon,18,17,7480511282,415583960.111111,415583960.111111,0.944444
2024-08-31 00:00:00.000,layerzero,Aptos -> BSC,13,11,28750866865,2211605143.461538,2211605143.461538,0.846154
2024-08-31 00:00:00.000,wormhole,aptos -> solana,12,7,33018970063253,2751580838604.4165,2751580838604.4165,0.583333
2024-08-31 00:00:00.000,layerzero,Aptos -> Ethereum,11,11,39355213219,3577746656.272727,3577746656.272727,1
2024-08-31 00:00:00.000,layerzero,Avalanche -> Aptos,8,1,13339148982,1667393622.75,1667393622.75,0.125
2024-08-31 00:00:00.000,layerzero,Polygon -> Aptos,6,1,2118419057,353069842.833333,353069842.833333,0.166667
2024-08-31 00:00:00.000,layerzero,Aptos -> Avalanche,5,4,75628154608,15125630921.6,15125630921.6,0.8
2024-08-31 00:00:00.000,wormhole,aptos -> sui,3,3,4513066670,1504355556.666667,1504355556.666667,1
2024-08-31 00:00:00.000,wormhole,aptos -> bsc,2,2,100400000,50200000,50200000,1
2024-08-31 00:00:00.000,wormhole,aptos -> optimism,1,1,100500000,100500000,100500000,1
2024-08-31 00:00:00.000,wormhole,aptos -> polygon,1,1,5330100,5330100,5330100,1
2024-08-31 00:00:00.000,mover,Arbitrum -> aptos,1,1,3974640,3974640,3974640,1
2024-08-31 00:00:00.000,wormhole,aptos -> base,1,1,139000000,139000000,139000000,1
2024-08-31 00:00:00.000,mover,Polygon -> aptos,1,1,908721,908721,908721,1
2024-08-31 00:00:00.000,celer_cbridge,BSC -> Aptos,1,1,14615853,14615853,14615853,1
2024-08-31 00:00:00.000,wormhole,aptos -> arbitrum,1,1,200000000,200000000,200000000,1
2024-08-31 00:00:00.000,wormhole,aptos -> ethereum,1,1,109999999900,109999999900,109999999900,1
2024-08-30 00:00:00.000,wormhole,,62,31,51362997851902,828435449224.2258,828435449224.2258,0.5
2024-08-30 00:00:00.000,layerzero,Arbitrum -> Aptos,60,1,33631368958,560522815.966667,560522815.966667,0.016667
2024-08-30 00:00:00.000,layerzero,Aptos -> Arbitrum,54,51,20634123412,382113396.518519,382113396.518519,0.944444
2024-08-30 00:00:00.000,layerzero,Aptos -> BSC,51,45,368629624742,7228031857.686275,7228031857.686275,0.882353
