DATE,CHAIN,TOTAL_TX,TTL_TX_COUNT,TOTAL_USER,TPS
2024-07-29 00:00:00.000,Polygon,3046405,3046405,1007631,35.259317
2024-07-23 00:00:00.000,Base,3782029,3782029,694568,43.773484
2024-07-26 00:00:00.000,Flow,164525,164525,4566,1.904225
2024-08-08 00:00:00.000,Polygon,3080898,3080898,898683,35.658542
2024-08-06 00:00:00.000,Avalanche,186046,186046,29128,2.15331
2024-08-03 00:00:00.000,Arbitrum,2075475,2075475,465254,24.021701
2024-08-15 00:00:00.000,Blast,1115089,1115089,35408,12.906123
2024-07-30 00:00:00.000,Flow,158794,158794,3295,1.837894
2024-07-25 00:00:00.000,Aptos,1741297,1741297,223989,20.1539
2024-08-07 00:00:00.000,Blast,842765,842765,31243,9.754225
2024-07-25 00:00:00.000,Blast,735560,735560,44341,8.513426
2024-08-01 00:00:00.000,Avalanche,187488,187488,42966,2.17
2024-07-23 00:00:00.000,Blast,770940,770940,52144,8.922917
2024-07-18 00:00:00.000,Blast,681432,681432,42676,7.886944
2024-08-05 00:00:00.000,Sei,3633691,3633691,6748,42.056609
2024-08-08 00:00:00.000,Optimism,514611,514611,68791,5.956146
2024-08-02 00:00:00.000,Base,3125286,3125286,576643,36.172292
2024-07-29 00:00:00.000,Flow,162302,162302,3346,1.878495
2024-07-21 00:00:00.000,Flow,313999,313999,22648,3.634248
2024-07-17 00:00:00.000,Aptos,1663769,1663769,149464,19.256586
2024-08-02 00:00:00.000,Aptos,4450181,4450181,89931,51.506725
2024-08-08 00:00:00.000,Arbitrum,1959062,1959062,341912,22.674329
2024-08-06 00:00:00.000,BSC,3510440,3510440,873513,40.630093
2024-08-02 00:00:00.000,Near,6117388,6117388,1737768,70.803102
2024-08-01 00:00:00.000,Aptos,1704564,1704564,116376,19.72875
2024-08-09 00:00:00.000,Aptos,1478881,1478881,65110,17.116678
2024-07-31 00:00:00.000,Arbitrum,1924012,1924012,419207,22.268657
2024-07-30 00:00:00.000,Ethereum,1139993,1139993,362395,13.194363
2024-07-25 00:00:00.000,Avalanche,176966,176966,37402,2.048218
2024-07-23 00:00:00.000,Polygon,3598159,3598159,1554049,41.645359
2024-07-23 00:00:00.000,Avalanche,170355,170355,33963,1.971701
2024-08-02 00:00:00.000,Avalanche,182118,182118,49151,2.107847
2024-08-09 00:00:00.000,Blast,856090,856090,32943,9.908449
2024-08-04 00:00:00.000,Near,6234111,6234111,1734272,72.154063
2024-08-15 00:00:00.000,Solana,38101284,38101284,1261585,440.987083
2024-07-20 00:00:00.000,Solana,45229631,45229631,1082587,523.4911
2024-07-31 00:00:00.000,Polygon,2713779,2713779,719959,31.409479
2024-07-31 00:00:00.000,Avalanche,160350,160350,29533,1.855903
2024-07-22 00:00:00.000,Avalanche,181159,181159,37544,2.096748
2024-07-19 00:00:00.000,BSC,3210177,3210177,889872,37.154826
2024-08-11 00:00:00.000,Blast,848066,848066,36317,9.815579
2024-08-15 00:00:00.000,Flow,491442,491442,75749,5.687986
2024-08-03 00:00:00.000,Ethereum,1067440,1067440,402707,12.35463
2024-07-20 00:00:00.000,Blast,808303,808303,42184,9.355359
2024-07-31 00:00:00.000,Optimism,447034,447034,68389,5.174005
2024-07-31 00:00:00.000,Blast,729369,729369,35675,8.441771
2024-08-16 00:00:00.000,Near,6312353,6312353,700008,73.059641
2024-08-09 00:00:00.000,Near,5737684,5737684,748842,66.40838
2024-08-13 00:00:00.000,Flow,314832,314832,32728,3.643889
2024-07-22 00:00:00.000,Base,4165590,4165590,779544,48.212847
2024-08-15 00:00:00.000,BSC,2822133,2822133,810458,32.663576
2024-07-31 00:00:00.000,Flow,217711,217711,21523,2.519803
2024-07-18 00:00:00.000,Flow,299155,299155,25713,3.462442
2024-08-11 00:00:00.000,Avalanche,121878,121878,22245,1.410625
2024-07-22 00:00:00.000,Optimism,524925,524925,90995,6.075521
