DATE,ASSET,N_TXS,TOTAL_SWAPS,N_USER,VOLUME,TOTAL_VOLUME
2024-08-31 00:00:00.000,SHRIMP,3,81,3,37.087240791,14679.356197464
2024-08-31 00:00:00.000,doodoo,9215,141907,28,1951702.40833812,20288503.5467275
2024-08-31 00:00:00.000,DONK,201,2959,3,7841.038146827,120363.707145337
2024-08-31 00:00:00.000,FOMO,1,67,1,0.00398875,0.06539544783
2024-08-31 00:00:00.000,ROO,4,46,2,106.906492391,1830107.63664668
2024-08-31 00:00:00.000,UPTOS,1061,21443,15,67788.239138725,853497.200903436
2024-08-30 00:00:00.000,doodoo,7705,132692,23,939956.708554784,18336801.1383894
2024-08-30 00:00:00.000,APTO,4,123,3,49.439334717,58918478.1611213
2024-08-30 00:00:00.000,UPTOS,1066,20382,16,67330.384725582,785708.961764711
2024-08-30 00:00:00.000,SHRIMP,2,78,2,0.1130975379,14642.268956673
2024-08-30 00:00:00.000,ROO,1,42,1,182.05875,1830000.73015429
2024-08-30 00:00:00.000,GUI,132,2353,64,23844.61803454,24622609.2452437
2024-08-30 00:00:00.000,CHEWY,2,107,2,3.392023612,101.495991833
2024-08-30 00:00:00.000,FOMO,1,66,1,,0.06140669783
2024-08-30 00:00:00.000,DONK,239,2758,5,11999.318654786,112522.66899851
2024-08-29 00:00:00.000,DONK,227,2519,4,9406.245388886,100523.350343724
2024-08-29 00:00:00.000,UPTOS,1052,19316,18,69016.503896225,718378.57703913
2024-08-29 00:00:00.000,CHEWY,2,105,2,0.5608025522,98.10396822
2024-08-29 00:00:00.000,doodoo,8959,124987,15,1123213.80090433,17396844.4298346
2024-08-29 00:00:00.000,GUI,131,2221,67,20473.099507299,24598764.6272092
2024-08-29 00:00:00.000,APTO,1,119,1,1629603.38896711,58918428.7217866
2024-08-29 00:00:00.000,ROO,1,41,1,68.7224179,1829818.67140429
2024-08-29 00:00:00.000,SHRIMP,2,76,2,0.6837513386,14642.155859135
2024-08-28 00:00:00.000,doodoo,8575,116028,30,1062585.04608432,16273630.6289303
2024-08-28 00:00:00.000,ROO,4,40,4,353.900536624,1829749.94898639
2024-08-28 00:00:00.000,GUI,146,2090,70,75228.324784298,24578291.5277019
2024-08-28 00:00:00.000,APTO,3,118,2,116.479076367,57288825.3328194
2024-08-28 00:00:00.000,APARTMENT,2,21,1,0.2747265292,201270.591252313
2024-08-28 00:00:00.000,DONK,228,2292,6,9490.145647454,91117.104954838
2024-08-28 00:00:00.000,UPTOS,1075,18264,22,66399.238463923,649362.073142905
2024-08-28 00:00:00.000,CHEWY,3,103,3,2.328296301,97.543165668
2024-08-28 00:00:00.000,SHRIMP,3,74,3,2038.375235016,14641.472107797
2024-08-27 00:00:00.000,APTO,5,115,4,30.948963192,57288708.8537431
2024-08-27 00:00:00.000,WOOF,1,2,1,55.57786092,58.009752172
2024-08-27 00:00:00.000,SHRIMP,2,71,2,0.7272,12603.09687278
2024-08-27 00:00:00.000,DONK,287,2064,5,12464.972777175,81626.959307384
2024-08-27 00:00:00.000,UPTOS,1059,17189,24,47639.592142599,582962.834678982
2024-08-27 00:00:00.000,GUI,89,1944,59,746730.24968843,24503063.2029176
2024-08-27 00:00:00.000,APARTMENT,5,19,1,0.504,201270.316525784
2024-08-27 00:00:00.000,doodoo,9903,107453,31,1408343.05755887,15211045.582846
2024-08-27 00:00:00.000,ROO,1,36,1,,1829396.04844977
2024-08-27 00:00:00.000,CHEWY,3,100,3,5.933388625,95.214869367
2024-08-26 00:00:00.000,DONK,260,1777,5,11401.379052406,69161.986530209
2024-08-26 00:00:00.000,APARTMENT,1,14,1,0.03657017438,201269.812525784
2024-08-26 00:00:00.000,CHEWY,2,97,2,0.03284113124,89.281480742
2024-08-26 00:00:00.000,SHRIMP,1,69,1,0.0272305225,12602.36967278
2024-08-26 00:00:00.000,GUI,91,1855,53,5774436.94225566,23756332.9532291
2024-08-26 00:00:00.000,UPTOS,1025,16130,14,39096.452665213,535323.242536383
2024-08-26 00:00:00.000,doodoo,9010,97550,38,1422607.25053271,13802702.5252871
2024-08-26 00:00:00.000,FOMO,1,65,1,0.02362940171,0.06140669783
2024-08-25 00:00:00.000,CHEWY,2,95,2,1.579111705,89.248639611
2024-08-25 00:00:00.000,GUI,133,1764,46,46117.27271603,17981896.0109735
2024-08-25 00:00:00.000,ROO,1,35,1,3.575833333,1829396.04844977
2024-08-25 00:00:00.000,doodoo,9959,88540,18,1553424.51029857,12380095.2747544
2024-08-25 00:00:00.000,APARTMENT,2,13,2,30.96853884,201269.77595561
2024-08-25 00:00:00.000,DONK,228,1517,5,9010.544052634,57760.607477803
2024-08-25 00:00:00.000,APTO,7,110,6,16.299401475,57288677.9047799
2024-08-25 00:00:00.000,SHRIMP,2,68,2,24.570467798,12602.342442258
